iter	Logloss
0	0.6243416622
1	0.5780464972
2	0.5453256966
3	0.5218321603
4	0.5053405339
5	0.4932731127
6	0.4851956997
7	0.4790144852
8	0.4743710977
9	0.4706487583
10	0.4682850973
11	0.4664404401
12	0.4652854687
13	0.4643849317
14	0.4635427825
15	0.4628542233
16	0.4625664603
17	0.4621987744
18	0.4617571209
19	0.4614208897
20	0.4612909205
21	0.4610881565
22	0.4609771103
23	0.4608396594
24	0.460534126
25	0.4604504563
26	0.4602857177
27	0.460085024
28	0.4599542294
29	0.4598453853
30	0.4597603453
31	0.4596367901
32	0.4594295109
33	0.4593279681
34	0.4592122579
35	0.4590006544
36	0.4588690031
37	0.45872037
38	0.4586215975
39	0.4585190114
40	0.4583981812
41	0.4583292601
42	0.4582691906
43	0.4580967761
44	0.4579600598
45	0.4579315229
46	0.457868213
47	0.4577628804
48	0.4576942796
49	0.4574416024
50	0.4572491185
51	0.4571563829
52	0.4570336607
53	0.4569771223
54	0.456890549
55	0.4567959818
56	0.4566904408
57	0.4564793012
58	0.4563475288
59	0.4562224067
60	0.4560895338
61	0.4559178145
62	0.4557958861
63	0.4557146024
64	0.45558345
65	0.4554519302
66	0.4553650043
67	0.4552458471
68	0.4551590569
69	0.4550305518
70	0.4549260543
71	0.4548209129
72	0.4546846592
73	0.4543341369
74	0.4541690373
75	0.454076121
76	0.453991137
77	0.453905271
78	0.453746305
79	0.4536567427
80	0.4535725468
81	0.4534683041
82	0.4533455005
83	0.4532872882
84	0.4531473387
85	0.4530706537
86	0.4529836742
87	0.4528580199
88	0.4527981036
89	0.4526655892
90	0.4526168496
91	0.4525248032
92	0.4524262434
93	0.4523208863
94	0.4522456527
95	0.4521887415
96	0.4521041706
97	0.4520776548
98	0.4519665311
99	0.4519174705
100	0.4517745647
101	0.4516944656
102	0.4515826688
103	0.4514607724
104	0.4513537682
105	0.4512055676
106	0.4511493016
107	0.4509333622
108	0.4507971182
109	0.4506275233
110	0.4505448057
111	0.4504673722
112	0.4503883652
113	0.4503125936
114	0.450233506
115	0.4500704086
116	0.4500152309
117	0.449860404
118	0.4497927824
119	0.4496825004
120	0.4495659853
121	0.4494674098
122	0.4493541747
123	0.4491712128
124	0.4490870094
125	0.4489009113
126	0.4488109658
127	0.4487442558
128	0.448651689
129	0.4485366032
130	0.4484445835
131	0.4483745869
132	0.4482364392
133	0.4481754538
134	0.4481385512
135	0.4480570252
136	0.4479880389
137	0.4478722123
138	0.4477725449
139	0.4477252048
140	0.447670403
141	0.4476125984
142	0.4475080989
143	0.4474028103
144	0.4473465292
145	0.4472341925
146	0.4471551031
147	0.4470410542
148	0.4469475697
149	0.4468823661
